soil,obs density
s1-2,1275.5
s1-3,1449.0
s2-1,1377.6
s2-2,1438.8
s2-3,1398.0
s3-1,1387.8
s3-2,1438.8
s3-3,1530.6
s4-1,1408.2
s4-3,1387.8
s5-2,1449.0
s6-1,1357.1
s6-2,1336.7
s6-3,1387.8
