0.000,0.108,0.690
soil,bulkPermittivity,v1,vr,obs.density,est.density,wc.Topp,wc.Malicki,wc.MixModel,wc.Curioni
m1-1,5.4,0.115,0.060,1306.1,1367.0,0.09,0.11,0.10,0.08
m1-2,5.4,0.112,0.058,1369.4,1356.5,0.09,0.11,0.10,0.08
m1-3,5.4,0.112,0.058,1408.8,1357.0,0.09,0.11,0.10,0.08
m2-1,7.7,0.229,0.120,1511.2,1507.3,0.14,0.17,0.16,0.13
m2-2,8.0,0.222,0.116,1469.4,1476.0,0.15,0.17,0.17,0.14
m2-3,7.6,0.209,0.110,1467.3,1476.6,0.14,0.16,0.16,0.13
m3-1,11.8,0.319,0.171,1447.4,1478.7,0.22,0.24,0.24,0.22
m3-3,11.2,0.317,0.170,1540.8,1501.0,0.21,0.23,0.23,0.21
